Smartphone,Brand,Model,RAM,Storage,Final Price
1049,15,226,3.0,32.0,149.99
133,5,204,6.0,128.0,209.0
137,5,204,4.0,128.0,368.81
284,8,32,8.0,128.0,769.87
578,11,108,4.0,128.0,333.0
123,5,29,6.0,128.0,219.0
335,9,89,8.0,128.0,612.07
502,10,254,8.0,128.0,269.0
798,11,135,8.0,512.0,797.0
874,13,216,4.0,64.0,241.0
875,13,217,12.0,256.0,792.19
186,6,82,12.0,256.0,618.21
429,10,32,6.0,128.0,332.59
41,2,141,4.0,64.0,171.49
1,15,247,8.0,128.0,528.84
98,4,26,4.0,128.0,251.55
732,11,129,8.0,128.0,600.0
1217,15,238,3.0,32.0,195.0
1128,15,233,8.0,256.0,388.0
322,7,244,12.0,256.0,597.99
439,10,34,4.0,64.0,232.59
527,11,101,4.0,64.0,199.0
932,15,7,8.0,128.0,599.0
317,7,243,8.0,128.0,184.0
1115,15,233,4.0,64.0,229.99
350,9,147,6.0,128.0,312.26
428,10,32,6.0,128.0,340.42
446,10,71,3.0,32.0,155.04
447,10,71,3.0,32.0,132.59
456,10,74,3.0,32.0,152.59
884,14,269,3.0,32.0,120.08
977,15,159,6.0,64.0,331.93
987,15,161,3.0,32.0,164.0
1013,15,222,4.0,128.0,209.28
1108,15,233,4.0,128.0,259.0
1123,15,233,6.0,64.0,299.99
1158,15,3,6.0,128.0,581.32
1165,15,235,6.0,128.0,233.18
1213,15,237,4.0,64.0,221.15
1240,10,28,6.0,128.0,209.0
6,15,248,8.0,128.0,549.0
107,4,261,4.0,64.0,135.0
1096,15,33,4.0,128.0,254.74
307,7,254,8.0,128.0,212.0
790,11,135,8.0,256.0,869.0
951,15,0,8.0,256.0,289.0
304,7,55,8.0,128.0,379.0
463,10,76,4.0,128.0,202.59
976,15,158,8.0,256.0,234.0
29,1,63,8.0,128.0,377.91
150,5,205,6.0,128.0,355.92
413,10,28,8.0,128.0,254.0
462,10,75,4.0,64.0,172.59
572,11,106,4.0,64.0,229.9
907,15,2,8.0,128.0,461.82
979,15,160,6.0,128.0,528.0
1126,15,233,8.0,128.0,412.6
1238,10,28,6.0,128.0,225.0
136,5,204,4.0,128.0,160.0
557,11,103,3.0,32.0,99.99
618,11,114,4.0,128.0,261.0
664,11,119,6.0,128.0,180.0
727,11,129,6.0,128.0,244.0
430,10,32,6.0,128.0,332.59
521,11,101,4.0,128.0,248.82
768,11,132,4.0,64.0,264.68
786,11,135,8.0,128.0,714.0
938,15,7,8.0,256.0,879.0
143,5,204,8.0,128.0,549.0
505,10,260,8.0,128.0,715.59
963,15,156,8.0,128.0,321.0
1017,15,222,4.0,64.0,221.89
1067,15,228,2.0,32.0,129.0
899,14,279,8.0,128.0,258.56
42,2,142,3.0,32.0,148.24
641,11,117,8.0,256.0,559.36
883,14,268,12.0,256.0,996.98
986,15,33,6.0,128.0,559.56
151,5,205,6.0,128.0,356.76
489,10,97,12.0,256.0,852.59
548,11,102,4.0,128.0,193.49
916,15,5,8.0,128.0,649.99
939,15,8,8.0,256.0,773.5
225,7,44,4.0,64.0,157.66
260,7,245,8.0,128.0,499.0
718,11,129,8.0,256.0,549.0
102,4,151,8.0,256.0,639.0
320,7,244,8.0,128.0,599.0
281,8,31,12.0,256.0,528.0
293,7,40,4.0,128.0,149.0
377,9,256,8.0,256.0,450.87
453,10,73,3.0,32.0,142.59
859,13,258,4.0,64.0,193.2
1221,15,239,3.0,64.0,109.0
561,11,104,3.0,32.0,144.99
120,5,197,8.0,128.0,631.1
142,5,204,8.0,128.0,849.88
219,7,38,4.0,64.0,189.0
721,11,129,6.0,128.0,640.72
1021,15,222,4.0,64.0,221.89
311,7,254,12.0,512.0,327.99
726,11,129,6.0,128.0,649.0
739,11,130,6.0,128.0,749.0
770,11,133,6.0,128.0,579.7
773,11,134,8.0,128.0,1087.57
819,12,11,4.0,64.0,209.99
872,13,215,6.0,128.0,311.03
965,15,156,8.0,256.0,599.0
992,15,164,6.0,128.0,219.0
43,2,142,4.0,64.0,200.99
243,7,56,8.0,128.0,240.0
308,7,91,12.0,256.0,189.0
1152,15,3,6.0,128.0,349.99
1069,15,228,2.0,32.0,111.8
275,8,23,8.0,128.0,244.43
279,8,28,8.0,128.0,819.0
560,11,104,3.0,32.0,253.0
607,11,111,4.0,64.0,120.0
631,11,116,6.0,128.0,339.0
724,11,129,6.0,128.0,649.0
795,11,135,8.0,256.0,1162.93
950,15,0,8.0,128.0,289.0
953,15,0,6.0,128.0,349.0
954,15,0,6.0,128.0,349.0
955,15,0,6.0,128.0,349.0
985,15,33,6.0,64.0,428.0
1127,15,233,8.0,128.0,349.0
1225,15,32,6.0,128.0,213.0
160,5,278,3.0,64.0,214.0
