Smartphone,RAM,Storage,Free,Final Price,PriceCategory
4,2.0,32.0,1,100.99,رخيص
104,8.0,128.0,1,909.0,متوسط
991,8.0,128.0,1,300.0,رخيص
1000,8.0,256.0,1,469.0,رخيص
1444,8.0,256.0,1,267.99,رخيص
1429,8.0,256.0,1,799.0,متوسط
522,8.0,256.0,1,491.64,رخيص
585,8.0,256.0,1,549.0,متوسط
1004,8.0,256.0,1,469.0,رخيص
1793,2.0,64.0,1,119.0,رخيص
1063,8.0,256.0,1,549.0,متوسط
1179,8.0,256.0,1,649.0,متوسط
1589,4.0,128.0,1,199.99,رخيص
1062,8.0,256.0,1,449.95,رخيص
1595,4.0,128.0,1,144.95,رخيص
1057,8.0,256.0,1,549.0,متوسط
613,8.0,128.0,1,299.0,رخيص
1291,8.0,512.0,1,1589.01,غالي
1684,4.0,128.0,1,219.99,رخيص
994,8.0,128.0,1,399.0,رخيص
170,8.0,256.0,1,1139.0,غالي
949,4.0,64.0,1,189.0,رخيص
967,4.0,128.0,1,234.95,رخيص
951,4.0,64.0,1,189.0,رخيص
1443,8.0,256.0,1,267.99,رخيص
1470,8.0,256.0,1,1026.41,غالي
765,8.0,128.0,1,349.99,رخيص
190,8.0,256.0,1,1259.01,غالي
208,8.0,512.0,1,1709.0,غالي
179,8.0,512.0,1,1399.0,غالي
24,8.0,64.0,1,363.0,رخيص
1246,8.0,128.0,1,829.01,متوسط
1059,8.0,256.0,1,549.0,متوسط
106,8.0,128.0,1,909.0,متوسط
1448,8.0,128.0,1,306.0,رخيص
1449,8.0,128.0,1,306.0,رخيص
731,4.0,128.0,1,209.99,رخيص
703,8.0,32.0,1,149.99,رخيص
875,4.0,128.0,1,222.59,رخيص
108,8.0,256.0,1,1029.0,غالي
1482,8.0,256.0,1,772.46,متوسط
616,8.0,128.0,1,299.0,رخيص
1061,8.0,256.0,1,549.0,متوسط
105,8.0,128.0,1,909.0,متوسط
84,8.0,256.0,1,669.0,متوسط
766,8.0,128.0,1,349.99,رخيص
1058,8.0,256.0,1,449.95,رخيص
103,8.0,128.0,1,909.0,متوسط
1742,8.0,128.0,1,289.95,رخيص
1052,8.0,128.0,1,379.95,رخيص
619,8.0,256.0,1,386.6,رخيص
1727,4.0,64.0,1,229.99,رخيص
1471,8.0,256.0,1,500.0,رخيص
277,8.0,64.0,1,269.0,رخيص
112,8.0,256.0,1,1029.0,غالي
1794,2.0,64.0,1,119.0,رخيص
176,8.0,512.0,1,1399.0,غالي
1434,4.0,128.0,1,182.99,رخيص
1216,8.0,256.0,1,699.0,متوسط
1433,4.0,128.0,1,178.0,رخيص
97,8.0,256.0,1,709.0,متوسط
762,8.0,256.0,1,349.99,رخيص
1558,4.0,128.0,1,295.82,رخيص
561,8.0,256.0,1,899.01,متوسط
1620,2.0,32.0,1,119.99,رخيص
1049,8.0,128.0,1,379.95,رخيص
1799,8.0,64.0,1,149.0,رخيص
1691,8.0,128.0,1,206.99,رخيص
866,8.0,256.0,1,601.6,متوسط
1249,8.0,256.0,1,819.94,متوسط
1276,8.0,256.0,1,1052.0,غالي
667,8.0,128.0,1,259.0,رخيص
1288,8.0,512.0,1,1177.0,غالي
1285,8.0,512.0,1,1589.01,غالي
953,4.0,64.0,1,189.0,رخيص
172,8.0,256.0,1,1139.0,غالي
600,4.0,128.0,1,158.95,رخيص
1363,4.0,64.0,1,143.28,رخيص
618,8.0,256.0,1,401.6,رخيص
194,8.0,512.0,1,1549.0,غالي
1747,8.0,128.0,1,229.95,رخيص
625,8.0,256.0,1,305.0,رخيص
1494,8.0,256.0,1,430.0,رخيص
1323,8.0,256.0,0,1159.0,غالي
339,8.0,32.0,1,189.99,رخيص
171,8.0,256.0,1,1139.0,غالي
1042,8.0,128.0,1,399.0,رخيص
523,8.0,256.0,1,491.64,رخيص
758,8.0,128.0,1,299.99,رخيص
584,8.0,256.0,1,549.0,متوسط
1451,8.0,256.0,1,309.0,رخيص
1425,8.0,128.0,1,290.48,رخيص
734,4.0,64.0,1,189.99,رخيص
1254,8.0,256.0,1,1172.82,غالي
1267,8.0,512.0,1,1138.46,غالي
1426,8.0,128.0,1,290.48,رخيص
1761,8.0,256.0,1,249.79,رخيص
1450,8.0,256.0,1,309.0,رخيص
1759,8.0,256.0,1,234.95,رخيص
207,8.0,512.0,1,1709.0,غالي
1489,8.0,256.0,1,1084.97,غالي
180,8.0,128.0,1,1159.0,غالي
26,8.0,64.0,1,735.2,متوسط
897,8.0,32.0,1,109.95,رخيص
772,8.0,256.0,1,399.99,رخيص
1244,8.0,128.0,1,829.01,متوسط
525,8.0,256.0,1,859.0,متوسط
1283,8.0,256.0,1,1409.0,غالي
666,8.0,128.0,1,361.71,رخيص
362,8.0,256.0,1,229.95,رخيص
1606,4.0,128.0,1,199.0,رخيص
1642,8.0,64.0,1,101.14,رخيص
630,8.0,256.0,1,499.0,رخيص
996,8.0,128.0,1,399.0,رخيص
1078,4.0,128.0,1,209.0,رخيص
940,4.0,128.0,1,177.0,رخيص
241,8.0,64.0,1,144.0,رخيص
643,8.0,128.0,1,309.0,رخيص
1394,4.0,64.0,1,150.99,رخيص
948,4.0,64.0,1,156.01,رخيص
1611,4.0,128.0,1,199.0,رخيص
990,8.0,128.0,1,399.0,رخيص
1384,8.0,256.0,1,200.99,رخيص
81,8.0,128.0,1,635.0,متوسط
1386,2.0,32.0,1,92.7,رخيص
168,8.0,256.0,1,1119.01,غالي
631,8.0,256.0,1,499.0,رخيص
941,4.0,128.0,1,209.0,رخيص
1273,8.0,512.0,1,1126.89,غالي
1757,8.0,128.0,1,209.0,رخيص
287,8.0,64.0,1,269.0,رخيص
50,8.0,128.0,1,859.0,متوسط
992,8.0,128.0,1,399.0,رخيص
185,8.0,128.0,1,1159.0,غالي
1228,8.0,256.0,1,954.0,متوسط
110,8.0,256.0,1,1029.01,غالي
1749,8.0,128.0,1,229.95,رخيص
516,8.0,128.0,1,599.0,متوسط
114,8.0,512.0,1,1259.0,غالي
676,8.0,128.0,1,319.0,رخيص
989,8.0,128.0,1,300.0,رخيص
1468,8.0,256.0,1,450.0,رخيص
398,8.0,128.0,1,419.0,رخيص
1798,8.0,64.0,1,149.0,رخيص
135,8.0,128.0,1,1159.0,غالي
623,8.0,256.0,1,999.0,متوسط
602,4.0,128.0,1,199.0,رخيص
1256,8.0,256.0,1,959.0,متوسط
189,8.0,256.0,1,1289.0,غالي
864,8.0,128.0,1,432.59,رخيص
1730,4.0,128.0,1,209.9,رخيص
1055,8.0,128.0,1,499.0,رخيص
944,4.0,128.0,1,209.0,رخيص
12,8.0,128.0,1,429.01,رخيص
1734,8.0,128.0,1,287.21,رخيص
980,4.0,64.0,1,200.71,رخيص
8,8.0,128.0,1,429.01,رخيص
1737,8.0,128.0,1,379.99,رخيص
196,8.0,512.0,1,1549.0,غالي
876,4.0,128.0,1,222.59,رخيص
1290,8.0,512.0,1,1191.0,غالي
596,4.0,64.0,1,179.0,رخيص
265,8.0,128.0,1,330.0,رخيص
997,8.0,256.0,1,342.99,رخيص
162,8.0,128.0,1,1009.0,غالي
183,8.0,128.0,1,1159.0,غالي
1076,4.0,128.0,1,209.0,رخيص
1596,4.0,128.0,1,144.95,رخيص
217,8.0,512.0,1,1859.0,غالي
401,8.0,128.0,1,580.0,متوسط
1263,8.0,256.0,1,1043.63,غالي
49,8.0,128.0,1,859.0,متوسط
102,8.0,128.0,1,909.0,متوسط
1628,2.0,32.0,1,93.41,رخيص
524,8.0,256.0,1,569.0,متوسط
211,8.0,128.0,1,1469.0,غالي
